Date,AAPL,ARKG,ARKK,ARKQ,ARKW,BLDP,BLNK,BYDDY,CLLS,CRSP,CRWD,CURLF,DOGEF,FCEL,FUBO,FVRR,GBTC,GTBIF,JMIA,LAZR,LMND,NET,NNDM,NTLA,OROCF,PLTR,PLUG,QS,RIOT,SAGE,SAIL,SNOW,SQ,TSLA,VLDR
2020-06-16,87.71025848388672,46.45000076293945,66.69000244140625,46.70000076293945,81.2300033569336,14.210000038146973,2.4100000858306885,13.824820518493652,16.440000534057617,66.2699966430664,101.04000091552734,5.484000205993652,112.38800048828125,2.5899999141693115,11.050000190734863,63.529998779296875,10.904999732971191,9.979999542236328,5.769999980926514,10.600000381469727,,31.649999618530273,2.4200000762939453,21.100000381469727,1.6799999475479126,,5.449999809265137,,2.3499999046325684,38.22999954223633,24.280000686645508,,94.73999786376953,196.42599487304688,11.550000190734863
2020-06-17,87.58819580078125,46.59000015258789,66.5,46.279998779296875,81.9800033569336,13.649999618530273,2.4200000762939453,14.114502906799316,16.31999969482422,66.33000183105469,98.69000244140625,5.539000034332275,113.80000305175781,2.359999895095825,12.0,62.310001373291016,10.699999809265137,10.050000190734863,5.639999866485596,10.710000038146973,,35.79999923706055,2.25,20.799999237060547,1.6799999475479126,,5.289999961853027,,2.2699999809265137,38.099998474121094,25.0,,97.02999877929688,198.35800170898438,13.59000015258789
2020-06-18,87.62307739257812,47.189998626708984,67.62999725341797,46.16999816894531,83.47000122070312,14.0,2.390000104904175,14.823723793029785,15.729999542236328,67.33999633789062,101.61000061035156,5.885000228881836,112.01000213623047,2.2799999713897705,11.34000015258789,68.29000091552734,10.579999923706055,10.199999809265137,5.760000228881836,10.680000305175781,,36.72999954223633,2.190000057220459,20.719999313354492,1.649999976158142,,5.389999866485596,,2.190000057220459,40.130001068115234,25.290000915527344,,98.2699966430664,200.79200744628906,14.75
2020-06-19,87.1223373413086,47.959999084472656,68.02999877929688,45.869998931884766,83.79000091552734,13.4399995803833,2.509999990463257,15.133383750915527,17.440000534057617,69.08000183105469,101.08000183105469,5.849999904632568,115.30000305175781,2.200000047683716,10.75,66.75,10.3100004196167,10.140000343322754,5.920000076293945,10.649999618530273,,36.0,2.309999942779541,21.170000076293945,1.6200000047683716,,5.480000019073486,,2.109999895095825,40.43000030517578,24.75,,97.9800033569336,200.17999267578125,13.0600004196167
2020-06-22,89.40178680419922,51.220001220703125,71.29000091552734,46.529998779296875,85.30000305175781,13.720000267028809,2.890000104904175,15.313186645507812,18.510000228881836,72.0199966430664,105.0199966430664,5.900000095367432,117.0,2.1700000762939453,10.0,71.37000274658203,10.5649995803833,10.3100004196167,5.639999866485596,10.626999855041504,,37.0,2.240000009536743,22.8700008392334,1.6399999856948853,,5.570000171661377,,2.509999990463257,42.08000183105469,25.350000381469727,,104.22000122070312,198.86399841308594,12.40999984741211
2020-06-23,91.31005096435547,53.08000183105469,72.4000015258789,46.58000183105469,85.6500015258789,14.15999984741211,2.6600000858306885,15.522955894470215,18.809999465942383,75.37000274658203,104.2699966430664,6.0,119.57499694824219,2.240000009536743,10.0,69.0199966430664,10.944999694824219,10.430000305175781,6.5,10.720000267028809,,35.400001525878906,2.309999942779541,22.3799991607666,1.6699999570846558,,6.429999828338623,,2.5999999046325684,43.150001525878906,25.90999984741211,,104.75,200.3560028076172,11.84000015258789
2020-06-24,89.6982421875,51.310001373291016,69.30000305175781,45.310001373291016,83.02999877929688,13.649999618530273,2.549999952316284,15.482999801635742,18.290000915527344,73.08999633789062,103.69999694824219,5.730000019073486,115.27799987792969,2.359999895095825,11.600000381469727,69.37999725341797,10.199999809265137,10.119000434875488,5.619999885559082,10.720000267028809,,35.0,2.25,21.59000015258789,1.6699999570846558,,7.570000171661377,,2.369999885559082,41.619998931884766,25.65999984741211,,100.87999725341797,192.1699981689453,11.100000381469727
2020-06-25,90.8890380859375,52.45000076293945,70.58000183105469,46.220001220703125,84.4000015258789,14.069999694824219,2.7200000286102295,15.399999618530273,18.540000915527344,76.05000305175781,105.70999908447266,5.909999847412109,115.73500061035156,2.2200000286102295,11.350000381469727,74.01000213623047,10.140000343322754,10.119999885559082,5.489999771118164,10.640000343322754,,36.0,2.200000047683716,21.489999771118164,1.6399999856948853,,7.349999904632568,,2.3299999237060547,42.29999923706055,26.770000457763672,,104.77999877929688,197.1959991455078,11.579999923706055
2020-06-26,88.09640502929688,50.52000045776367,68.97000122070312,45.2599983215332,82.94000244140625,13.649999618530273,3.0199999809265137,15.199999809265137,18.100000381469727,74.04000091552734,98.79000091552734,5.880000114440918,115.30000305175781,2.0899999141693115,11.149999618530273,72.44000244140625,9.699999809265137,10.029999732971191,5.210000038146973,10.569999694824219,,35.529998779296875,2.0999999046325684,20.510000228881836,1.5800000429153442,,6.829999923706055,,2.200000047683716,41.83000183105469,26.579999923706055,,104.30000305175781,191.947998046875,15.0
2020-06-29,90.1267318725586,51.0,69.36000061035156,46.060001373291016,82.8499984741211,15.529999732971191,4.010000228881836,15.260000228881836,17.940000534057617,75.05000305175781,98.0999984741211,5.9120001792907715,116.95999908447266,2.3399999141693115,10.489999771118164,70.58999633789062,9.489999771118164,9.670000076293945,5.260000228881836,10.600000381469727,,35.11000061035156,2.119999885559082,20.420000076293945,1.590000033378601,,7.989999771118164,,2.140000104904175,41.77000045776367,26.34000015258789,,103.68000030517578,201.8699951171875,16.729999542236328
